SWT1,SWT2,MWT1,MWT2,Rel,Anno
croissance,développement,croissance économique,développement économique,QSYN,1
croissance,développement,processus de croissance,processus de développement,QSYN,1
croissance,développement,stade de croissance,stade de développement,QSYN,1
croûte,manteau,croûte terrestre,manteau terrestre,QSYN,1
dégradation,érosion,dégradation du sol,érosion du sol,QSYN,1
déplacement,parcours,temps de déplacement,temps de parcours,QSYN,1
déplacement,trajet,temps de déplacement,temps de trajet,QSYN,1
désertification,sécheresse,lutte contre le désertification,lutte contre le sécheresse,QSYN,1
déversement,rejet,autorisation de déversement,autorisation de rejet,QSYN,1
électricité,énergie,approvisionnement en électricité,approvisionnement en énergie,QSYN,1
électricité,énergie,électricité éolien,énergie éolien,QSYN,1
électricité,énergie,électricité photovoltaïque,énergie photovoltaïque,QSYN,1
électricité,énergie,électricité vert,énergie vert,QSYN,1
empreinte,impact,empreinte écologique,impact écologique,QSYN,1
enfouissement,élimination,enfouissement du déchet,élimination du déchet,QSYN,1
environnement,écosystème,environnement urbain,écosystème urbain,QSYN,1
environnement,milieu,environnement de travail,milieu de travail,QSYN,1
environnement,milieu,environnement physique,milieu physique,QSYN,1
environnement,milieu,environnement récepteur,milieu récepteur,QSYN,1
environnemental,écologique,bilan environnemental,bilan écologique,QSYN,1
environnemental,écologique,impact environnemental,impact écologique,QSYN,1
ferroviaire,ferré,réseau ferroviaire,réseau ferré,QSYN,1
ferroviaire,routier,fret ferroviaire,fret routier,QSYN,1
ferroviaire,routier,réseau ferroviaire,réseau routier,QSYN,1
ferroviaire,routier,trafic ferroviaire,trafic routier,QSYN,1
ferroviaire,routier,transport ferroviaire,transport routier,QSYN,1
fixation,séquestration,fixation du carbone,séquestration du carbone,QSYN,1
frais,froid,air frais,air froid,QSYN,1
gaz,pétrole,industrie du gaz,industrie du pétrole,QSYN,1
couverture,manteau,couverture de neige,manteau de neige,QSYN,1
global,mondial,modèle global,modèle mondial,QSYN,1
global,mondial,réchauffement global,réchauffement mondial,QSYN,1
global,mondial,réseau global,réseau mondial,QSYN,1
global,planétaire,réchauffement global,réchauffement planétaire,QSYN,1
hydroélectrique,électrique,énergie hydroélectrique,énergie électrique,QSYN,1
local,régional,développement local,développement régional,QSYN,1
matière,substance,matière actif,substance actif,QSYN,1
mondial,planétaire,réchauffement mondial,réchauffement planétaire,QSYN,1
organique,biologique,agriculture organique,agriculture biologique,QSYN,1
organique,biologique,pollution organique,pollution biologique,QSYN,1
photovoltaïque,solaire,énergie photovoltaïque,énergie solaire,QSYN,1
protection,conservation,protection du forêt,conservation du forêt,QSYN,1
protection,préservation,protection de le nature,préservation de le nature,QSYN,1
protection,préservation,protection du forêt,préservation du forêt,QSYN,1
protection,préservation,protection du végétal,préservation du végétal,QSYN,1
recyclage,récupération,taux de recyclage,taux de récupération,QSYN,1
recyclage,valorisation,recyclage du déchet,valorisation du déchet,QSYN,1
recyclage,valorisation,recyclage matière,valorisation matière,QSYN,1
recyclage,valorisation,taux de recyclage,taux de valorisation,QSYN,1
région,zone,région arctique,zone arctique,QSYN,1
région,zone,région métropolitain,zone métropolitain,QSYN,1
réutilisation,recyclage,réutilisation du emballage,recyclage du emballage,QSYN,1
sol,soussol,sol marin,sous-sol marin,QSYN,1
solaire,thermique,rayonnement solaire,rayonnement thermique,QSYN,1
stockage,séquestration,stockage géologique,séquestration géologique,QSYN,1
transformation,traitement,produit de transformation,produit de traitement,QSYN,1
transformation,traitement,transformation du déchet,traitement du déchet,QSYN,1
tropical,subtropical,climat tropical,climat subtropical,QSYN,1
vert,écologique,label vert,label écologique,QSYN,1
vert,écologique,tourisme vert,tourisme écologique,QSYN,1
vie,vivant,science de le vie,science du vivant,QSYN,1
consommation,alimentation,consommation animal,alimentation animal,ANTI,0
consommation,alimentation,eau de consommation,alimentation en eau,ANTI,0
croissance,diminution,vitesse de croissance,diminution de le vitesse,ANTI,0
déplacement,transport,temps de déplacement,temps de transport,ANTI,0
eau,air,eau atmosphérique,air atmosphérique,ANTI,0
eau,air,eau libre,air libre,ANTI,0
eau,terre,eau en surface,surface de le terre,ANTI,0
eau,terre,eau rouge,terre rouge,ANTI,0
eau,terre,ressource en eau,ressource de le terre,ANTI,0
mer,terre,ressource de le mer,ressource de le terre,ANTI,0
mer,terre,science de le mer,science de le terre,ANTI,0
activité,agriculture,activité biologique,agriculture biologique,HYP,0
activité,culture,activité biologique,culture biologique,HYP,0
agriculture,culture,agriculture biologique,élevage biologique,HYP,0
agriculture,culture,agriculture itinérant,culture itinérant,HYP,0
agriculture,élevage,agriculture durable,élevage durable,HYP,0
combustible,biomasse,stockage de combustible,stockage de biomasse,HYP,0
combustible,carburant,quantité de combustible,quantité de carburant,HYP,0
combustible,pétrole,combustible de remplacement,remplacement du pétrole,HYP,0
diversité,biodiversité,gestion de le diversité,gestion de le biodiversité,HYP,0
diversité,biodiversité,diversité microbien,biodiversité microbien,HYP,0
gaz,carbone,puits de gaz,puits à carbone,HYP,0
gaz,carbone,puits de gaz,puits de carbone,HYP,0
gaz,carbone,séquestration du gaz,séquestration du carbone,HYP,0
gaz,carbone,stock de gaz,stock de carbone,HYP,0
gaz,carbone,stockage de gaz,stockage du carbone,HYP,0
gaz,carbone,teneur en gaz,teneur en carbone,HYP,0
gaz,carbone,hydrate de gaz,hydrate de carbone,HYP,0
infrastructure,ligne,infrastructure vert,ligne vert,HYP,0
planète,terre,climat de le planète,climat de le terre,HYP,0
planète,terre,écosystème de le planète,écosystème sur terre,HYP,0
planète,terre,planète vivant,terre vivant,HYP,0
planète,terre,population de le planète,population de le terre,HYP,0
planète,terre,réchauffement de le planète,réchauffement de le terre,HYP,0
route,autoroute,route maritime,autoroute maritime,HYP,0
changement,refroidissement,changement climatique,refroidissement climatique,QSYN,0
cinétique,électrique,énergie cinétique,énergie électrique,QSYN,0
communauté,population,communauté urbain,population urbain,QSYN,0
conservation,préservation,conservation de le nature,préservation de le nature,QSYN,0
dégradation,catastrophe,dégradation écologique,catastrophe écologique,QSYN,0
dégradation,détérioration,dégradation du sol,détérioration du sol,QSYN,0
environnement,milieu,environnement rural,milieu rural,QSYN,0
environnement,milieu,environnement urbain,milieu urbain,QSYN,0
glace,neige,couverture de glace,couverture de neige,QSYN,0
glace,neige,cristaux de glace,cristaux de neige,QSYN,0
habitat,milieu,habitat rural,milieu rural,QSYN,0
habitat,milieu,habitat urbain,milieu urbain,QSYN,0
recyclage,récupération,recyclage du matériaux,matériaux de récupération,QSYN,0
stockage,charge,capacité de stockage,capacité de charge,QSYN,0
variabilité,changement,variabilité climatique,changement climatique,QSYN,0
