MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
consommation mondiale,N A,alimentation mondiale,N A,consommation,alimentation,ANTI
eau au centre,N P N,centre de la terre,N P N,eau,terre,ANTI
végétation terrestre,N A,végétation aquatique,N A,terrestre,aquatique,ANTI
augmentation des émissions,N P N,diminution des émissions,N P N,augmentation,diminution,ANTI
eau de la région,N P N,air dans la région,N P N,eau,air,ANTI
eau propre,N A,air propre,N A,eau,air,ANTI
croissance des prix,N P N,diminution du prix,N P N,croissance,diminution,ANTI
population en augmentation,N P N,diminution de la population,N P N,augmentation,diminution,ANTI
patrimoine urbain,N A,patrimoine rural,N A,urbain,rural,ANTI
production agricole,N A,production piscicole,N A,agricole,piscicole,ANTI
eau par jour,N P N,jour sur terre,N P N,eau,terre,ANTI
domaine industriel,N A,domaine naturel,N A,industriel,naturel,ANTI
augmentation de la présence,N P N,diminution de la présence,N P N,augmentation,diminution,ANTI
eau en partage,N P N,partage de la terre,N P N,eau,terre,ANTI
exode urbain,N A,exode rural,N A,urbain,rural,ANTI
partie terrestre,N A,partie aquatique,N A,terrestre,aquatique,ANTI
faune du sol,N P N,flore du sol,N P N,faune,flore,ANTI
augmentation de la température,N P N,diminution de la température,N P N,augmentation,diminution,ANTI
concept de croissance,N P N,concept de décroissance,N P N,croissance,décroissance,ANTI
réseau local,N A,réseau mondial,N A,local,mondial,ANTI
centre de la mer,N P N,centre de la terre,N P N,mer,terre,ANTI
ressources de la mer,N P N,ressources de la terre,N P N,mer,terre,ANTI
atmosphère du co2,N P N,co2 sur terre,N P N,atmosphère,terre,ANTI
atmosphère à un niveau,N P N,terre au niveau,N P N,atmosphère,terre,ANTI
refroidissement des eaux,N P N,réchauffement des eaux,N P N,refroidissement,réchauffement,ANTI
mouvement alternatif,N A,mouvement continu,N A,alternatif,continu,ANTI
homme en général,N P N,nature en général,N P N,homme,nature,ANTI
plan global,N A,plan régional,N A,global,régional,ANTI
tissu urbain,N A,tissu rural,N A,urbain,rural,ANTI
faune riche,N A,flore riche,N A,faune,flore,ANTI
population en augmentation,N P N,baisse pour la population,N P N,augmentation,baisse,ANTI
mer en surface,N P N,surface de la terre,N P N,mer,terre,ANTI
programme régional,N A,programme mondial,N A,régional,mondial,ANTI
raison de la croissance,N P N,raison de la diminution,N P N,croissance,diminution,ANTI
atmosphère dans les régions,N P N,régions de la terre,N P N,atmosphère,terre,ANTI
abondance de la faune,N P N,abondance de la flore,N P N,faune,flore,ANTI
affaire local,N A,affaire mondial,N A,local,mondial,ANTI
richesse de la faune,N P N,richesse de la flore,N P N,faune,flore,ANTI
vitesse de croissance,N P N,diminution de la vitesse,N P N,croissance,diminution,ANTI
face à une augmentation,N P N,face à la diminution,N P N,augmentation,diminution,ANTI
cadre eau,N N,air dans le cadre,N P N,eau,air,ANTI
baisse de la population,N P N,croissance de la population,N P N,baisse,croissance,ANTI
habitats de la faune,N P N,flore habitats,N N,faune,flore,ANTI
grâce à la croissance,N P N,grâce à une diminution,N P N,croissance,diminution,ANTI
eau par rapport,N P N,rapport à la terre,N P N,eau,terre,ANTI
sciences de la mer,N P N,sciences de la terre,N P N,mer,terre,ANTI
consommation bio,N A,alimentation bio,N A,consommation,alimentation,ANTI
air chaud,N A,air froid,N A,chaud,froid,ANTI
baisse du rythme,N P N,rythme de croissance,N P N,baisse,croissance,ANTI
système global,N A,système régional,N A,global,régional,ANTI
climat régional,N A,climat mondial,N A,régional,mondial,ANTI
eau à température,N P N,température sur terre,N P N,eau,terre,ANTI
croissance constante,N A,diminution constante,N A,croissance,diminution,ANTI
diminution des gaz,N P N,hausse des gaz,N P N,diminution,hausse,ANTI
évolution de la faune,N P N,évolution de la flore,N P N,faune,flore,ANTI
consommation en eau,N P N,alimentation en eau,N P N,consommation,alimentation,ANTI
atlas planétaire,N A,atlas régional,N A,planétaire,régional,ANTI
déplacement des zones,N P N,transport dans les zones,N P N,déplacement,transport,ANTI
augmentation des pluies,N P N,diminution des pluies,N P N,augmentation,diminution,ANTI
eau des sols,N P N,sols en terre,N P N,eau,terre,ANTI
augmentation globale,N A,diminution globale,N A,augmentation,diminution,ANTI
homme face,N N,face à la nature,N P N,homme,nature,ANTI
biodiversité terrestre,N A,biodiversité aquatique,N A,terrestre,aquatique,ANTI
augmentation des espèces,N P N,diminution des espèces,N P N,augmentation,diminution,ANTI
baisse régulière,N A,croissance régulière,N A,baisse,croissance,ANTI
eau à la surface,N P N,surface de la terre,N P N,eau,terre,ANTI
chaleur de la terre,N P N,chaleur du soleil,N P N,terre,soleil,ANTI
patrimoine industriel,N A,patrimoine naturel,N A,industriel,naturel,ANTI
homme dans le milieu,N P N,milieu de la nature,N P N,homme,nature,ANTI
consommation locale,N A,alimentation locale,N A,consommation,alimentation,ANTI
eau du québec,N P N,air du québec,N P N,eau,air,ANTI
eau en milieu,N P N,air en milieu,N P N,eau,air,ANTI
pollution dans les eaux,N P N,dépollution des eaux,N P N,pollution,dépollution,ANTI
baisse moyenne,N A,élévation moyenne,N A,baisse,élévation,ANTI
augmentation importante,N A,diminution importante,N A,augmentation,diminution,ANTI
faune remarquables,N A,flore remarquables,N A,faune,flore,ANTI
sous-sol de la mer,N P N,sous-sol de la terre,N P N,mer,terre,ANTI
augmentation des cas,N P N,cas de baisse,N P N,augmentation,baisse,ANTI
patrimoine humain,N A,patrimoine naturel,N A,humain,naturel,ANTI
augmentation brutale,N A,baisse brutale,N A,augmentation,baisse,ANTI
homme par les écosystèmes,N P N,nature des écosystèmes,N P N,homme,nature,ANTI
atmosphère par rapport,N P N,terre par rapport,N P N,atmosphère,terre,ANTI
développement global,N A,développement régional,N A,global,régional,ANTI
milieu polaire,N A,milieu tropical,N A,polaire,tropical,ANTI
augmentation de la biomasse,N P N,diminution de la biomasse,N P N,augmentation,diminution,ANTI
augmentation de la diversité,N P N,diminution de la diversité,N P N,augmentation,diminution,ANTI
charge de la mise,N P N,mise en décharge,N P N,charge,décharge,ANTI
cadre global,N A,cadre régional,N A,global,régional,ANTI
environnement terrestre,N A,environnement aquatique,N A,terrestre,aquatique,ANTI
temps chaud,N A,temps froid,N A,chaud,froid,ANTI
eau cours,N N,terre au cours,N P N,eau,terre,ANTI
lutte en mer,N P N,lutte pour la terre,N P N,mer,terre,ANTI
commerce local,N A,commerce mondial,N A,local,mondial,ANTI
croissance de la population,N P N,diminution de la population,N P N,croissance,diminution,ANTI
eau de la région,N P N,région terre,N N,eau,terre,ANTI
croissance soutenable,N A,décroissance soutenable,N A,croissance,décroissance,ANTI
niveau régional,N A,niveau mondial,N A,régional,mondial,ANTI
eau des territoires,N P N,air dans les territoires,N P N,eau,air,ANTI
augmentation relative,N A,diminution relative,N A,augmentation,diminution,ANTI
patrimoine animal,N A,patrimoine végétal,N A,animal,végétal,ANTI
augmentation des rejets,N P N,diminution des rejets,N P N,augmentation,diminution,ANTI
eau dans le cadre,N P N,air dans le cadre,N P N,eau,air,ANTI
droit de la mer,N P N,terre droit,N A,mer,terre,ANTI
augmentation du niveau,N P N,diminution du niveau,N P N,augmentation,diminution,ANTI
augmentation des revenus,N P N,baisse des revenus,N P N,augmentation,baisse,ANTI
augmentation progressive,N A,baisse progressive,N A,augmentation,baisse,ANTI
eau par le système,N P N,système de la terre,N P N,eau,terre,ANTI
faune régionale,N A,flore régionale,N A,faune,flore,ANTI
eau local,N A,eau mondial,N A,local,mondial,ANTI
rapport eau,N N,terre par rapport,N P N,eau,terre,ANTI
croissance régulière,N A,décroissance régulière,N A,croissance,décroissance,ANTI
augmentation du nombre,N P N,diminution du nombre,N P N,augmentation,diminution,ANTI
diminution de la fréquence,N P N,hausse de la fréquence,N P N,diminution,hausse,ANTI
baisse du niveau,N P N,élévation du niveau,N P N,baisse,élévation,ANTI
modifications de la faune,N P N,modifications de la flore,N P N,faune,flore,ANTI
baisse rapide,N A,croissance rapide,N A,baisse,croissance,ANTI
préservation de la faune,N P N,préservation de la flore,N P N,faune,flore,ANTI
température de la mer,N P N,température de la terre,N P N,mer,terre,ANTI
eau pour le refroidissement,N P N,refroidissement de la terre,N P N,eau,terre,ANTI
augmentation de la mortalité,N P N,diminution de la mortalité,N P N,augmentation,diminution,ANTI
eau en ville,N P N,air de la ville,N P N,eau,air,ANTI
environnement urbain,N A,environnement rural,N A,urbain,rural,ANTI
diminution des dépenses,N P N,hausse des dépenses,N P N,diminution,hausse,ANTI
eau dans le nord,N P N,nord de la terre,N P N,eau,terre,ANTI
grâce à une augmentation,N P N,grâce à une diminution,N P N,augmentation,diminution,ANTI
augmentation des précipitations,N P N,baisse des précipitations,N P N,augmentation,baisse,ANTI
homme au coeur,N P N,nature au coeur,N P N,homme,nature,ANTI
baisse en raison,N P N,raison de la croissance,N P N,baisse,croissance,ANTI
environnement global,N A,environnement régional,N A,global,régional,ANTI
augmentation du taux,N P N,baisse du taux,N P N,augmentation,baisse,ANTI
contexte planétaire,N A,contexte régional,N A,planétaire,régional,ANTI
réseau régional,N A,réseau mondial,N A,régional,mondial,ANTI
augmentation de la demande,N P N,diminution de la demande,N P N,augmentation,diminution,ANTI
homme au centre,N P N,centre de la nature,N P N,homme,nature,ANTI
eau dans la mer,N P N,eau dans la terre,N P N,mer,terre,ANTI
climat de la terre,N P N,soleil sur le climat,N P N,terre,soleil,ANTI
gestion de la faune,N P N,gestion de la flore,N P N,faune,flore,ANTI
risque inondation,N N,risque de sécheresse,N P N,inondation,sécheresse,ANTI
eau en région,N P N,air dans la région,N P N,eau,air,ANTI
eau en mouvement,N P N,mouvement pour la terre,N P N,eau,terre,ANTI
homme au bois,N P N,nature de bois,N P N,homme,nature,ANTI
pétrole en mer,N P N,pétrole sous terre,N P N,mer,terre,ANTI
aménagement global,N A,aménagement régional,N A,global,régional,ANTI
protection faune,N N,protection de la flore,N P N,faune,flore,ANTI
population en eau,N P N,population de la terre,N P N,eau,terre,ANTI
continent austral,N A,océan austral,N A,continent,océan,ANTI
diminution de la mortalité,N P N,hausse de la mortalité,N P N,diminution,hausse,ANTI
forum régional,N A,forum mondial,N A,régional,mondial,ANTI
environnement humain,N A,environnement naturel,N A,humain,naturel,ANTI
homme dans le changement,N P N,changement dans la nature,N P N,homme,nature,ANTI
réseau global,N A,réseau régional,N A,global,régional,ANTI
poissons de consommation,N P N,alimentation des poissons,N P N,consommation,alimentation,ANTI
eau des écosystèmes,N P N,écosystèmes sur terre,N P N,eau,terre,ANTI
croissance de la productivité,N P N,diminution de la productivité,N P N,croissance,diminution,ANTI
consommation responsable,N A,alimentation responsable,N A,consommation,alimentation,ANTI
niveau industriel,N A,niveau naturel,N A,industriel,naturel,ANTI
grâce à la baisse,N P N,grâce à la croissance,N P N,baisse,croissance,ANTI
refroidissement global,N A,réchauffement global,N A,refroidissement,réchauffement,ANTI
diminution récente,N A,hausse récente,N A,diminution,hausse,ANTI
suite à une augmentation,N P N,suite à une baisse,N P N,augmentation,baisse,ANTI
eau pollution,N N,air pollution,N N,eau,air,ANTI
contrôle environnemental,N A,contrôle sur le polluant,N P N,environnemental,polluant,ANTI
augmentation par rapport,N P N,diminution par rapport,N P N,augmentation,diminution,ANTI
eau en surface,N P N,air de surface,N P N,eau,air,ANTI
changement collectif,N A,changement individuel,N A,collectif,individuel,ANTI
approvisionnement local,N A,approvisionnement mondial,N A,local,mondial,ANTI
monde industriel,N A,monde naturel,N A,industriel,naturel,ANTI
monde terrestre,N A,monde marin,N A,terrestre,marin,ANTI
croissance des gaz,N P N,diminution des gaz,N P N,croissance,diminution,ANTI
arrêt du projet,N P N,démarrage du projet,N P N,arrêt,démarrage,ANTI
augmentation de la pauvreté,N P N,diminution de la pauvreté,N P N,augmentation,diminution,ANTI
élévation moyenne,N A,diminution moyenne,N A,élévation,diminution,ANTI
assainissement collectif,N A,assainissement individuel,N A,collectif,individuel,ANTI
eau pollution,N N,pollution air,N N,eau,air,ANTI
tourisme local,N A,tourisme mondial,N A,local,mondial,ANTI
mer verte,N A,terre verte,N A,mer,terre,ANTI
réchauffement global,N A,réchauffement local,N A,global,local,ANTI
eau à la surface,N P N,air en surface,N P N,eau,air,ANTI
caractère environnemental,N A,caractère polluant,N A,environnemental,polluant,ANTI
augmentation de la pollution,N P N,baisse de la pollution,N P N,augmentation,baisse,ANTI
augmentation rapide,N A,diminution rapide,N A,augmentation,diminution,ANTI
augmentation de la pression,N P N,baisse de la pression,N P N,augmentation,baisse,ANTI
atmosphère en co2,N P N,co2 sur terre,N P N,atmosphère,terre,ANTI
faune dans le parc,N P N,flore du parc,N P N,faune,flore,ANTI
augmentation graduelle,N A,diminution graduelle,N A,augmentation,diminution,ANTI
relation homme,N N,relation avec la nature,N P N,homme,nature,ANTI
changement dans un homme,N P N,changement dans la nature,N P N,homme,nature,ANTI
croissance globale,N A,diminution globale,N A,croissance,diminution,ANTI
augmentation de la superficie,N P N,diminution de la superficie,N P N,augmentation,diminution,ANTI
eau en surface,N P N,air en surface,N P N,eau,air,ANTI
bien-être humain,N A,bien-être au naturel,N P N,humain,naturel,ANTI
caractère régional,N A,caractère mondial,N A,régional,mondial,ANTI
pouvoir régional,N A,pouvoir mondial,N A,régional,mondial,ANTI
homme au centre,N P N,nature au centre,N P N,homme,nature,ANTI
mer de baffin,N P N,terre de baffin,N P N,mer,terre,ANTI
position de la terre,N P N,position du soleil,N P N,terre,soleil,ANTI
refroidissement de la terre,N P N,réchauffement de la terre,N P N,refroidissement,réchauffement,ANTI
homme environnement,N N,nature environnement,N N,homme,nature,ANTI
eau par le système,N P N,système terre,N N,eau,terre,ANTI
homme au sein,N P N,nature au sein,N P N,homme,nature,ANTI
chaleur eau,N N,chaleur de la terre,N P N,eau,terre,ANTI
eau dans les cours,N P N,air en cours,N P N,eau,air,ANTI
augmentation de la déforestation,N P N,diminution de la déforestation,N P N,augmentation,diminution,ANTI
niveau planétaire,N A,niveau régional,N A,planétaire,régional,ANTI
eau au cours,N P N,terre au cours,N P N,eau,terre,ANTI
diminution progressive,N A,hausse progressive,N A,diminution,hausse,ANTI
augmentation de la diversité,N P N,baisse de la diversité,N P N,augmentation,baisse,ANTI
homme sur le changement,N P N,changement dans la nature,N P N,homme,nature,ANTI
habitudes de déplacement,N P N,habitudes de transport,N P N,déplacement,transport,ANTI
parc industriel,N A,parc naturel,N A,industriel,naturel,ANTI
capital industriel,N A,capital naturel,N A,industriel,naturel,ANTI
pollution des sols,N P N,dépollution des sols,N P N,pollution,dépollution,ANTI
croissance de la demande,N P N,diminution de la demande,N P N,croissance,diminution,ANTI
vie agricole,N A,vie piscicole,N A,agricole,piscicole,ANTI
augmentation progressive,N A,diminution progressive,N A,augmentation,diminution,ANTI
surface de la terre,N P N,surface du soleil,N P N,terre,soleil,ANTI
augmentation des stocks,N P N,diminution des stocks,N P N,augmentation,diminution,ANTI
faune forestière,N A,flore forestière,N A,faune,flore,ANTI
homme à la place,N P N,place de la nature,N P N,homme,nature,ANTI
serre anthropique,N A,serre naturel,N A,anthropique,naturel,ANTI
eau sur la planète,N P N,planète terre,N N,eau,terre,ANTI
refroidissement local,N A,refroidissement planétaire,N A,local,planétaire,ANTI
climat global,N A,climat local,N A,global,local,ANTI
accélération du réchauffement,N P N,ralentissement du réchauffement,N P N,accélération,ralentissement,ANTI
atmosphère en france,N P N,terre en france,N P N,atmosphère,terre,ANTI
homme en france,N P N,france nature,N N,homme,nature,ANTI
eau avec un système,N P N,système de la terre,N P N,eau,terre,ANTI
augmentation récente,N A,baisse récente,N A,augmentation,baisse,ANTI
atmosphère de la planète,N P N,planète terre,N N,atmosphère,terre,ANTI
eau dans le système,N P N,système de la terre,N P N,eau,terre,ANTI
phénomène local,N A,phénomène planétaire,N A,local,planétaire,ANTI
absorption du rayonnement,N P N,émission de rayonnement,N P N,absorption,émission,ANTI
augmentation de la salinité,N P N,diminution de la salinité,N P N,augmentation,diminution,ANTI
phénomène global,N A,phénomène local,N A,global,local,ANTI
refroidissement du climat,N P N,réchauffement du climat,N P N,refroidissement,réchauffement,ANTI
eaux contre la pollution,N P N,dépollution des eaux,N P N,pollution,dépollution,ANTI
environnement terrestre,N A,environnement marin,N A,terrestre,marin,ANTI
eau pour les écosystèmes,N P N,écosystèmes sur terre,N P N,eau,terre,ANTI
idée de croissance,N P N,idée de décroissance,N P N,croissance,décroissance,ANTI
eau pure,N A,terre pure,N A,eau,terre,ANTI
milieu urbain,N A,milieu rural,N A,urbain,rural,ANTI
actions de déboisement,N P N,actions de reboisement,N P N,déboisement,reboisement,ANTI
climat polaire,N A,climat tropical,N A,polaire,tropical,ANTI
diminution du taux,N P N,hausse du taux,N P N,diminution,hausse,ANTI
faune française,N A,flore française,N A,faune,flore,ANTI
croissance des émissions,N P N,diminution des émissions,N P N,croissance,diminution,ANTI
baisse du niveau,N P N,niveau de croissance,N P N,baisse,croissance,ANTI
parc terrestre,N A,parc marin,N A,terrestre,marin,ANTI
diminution par rapport,N P N,hausse par rapport,N P N,diminution,hausse,ANTI
augmentation des besoins,N P N,diminution des besoins,N P N,augmentation,diminution,ANTI
défense contre la mer,N P N,défense de la terre,N P N,mer,terre,ANTI
absorption de chaleur,N P N,émission de chaleur,N P N,absorption,émission,ANTI
augmentation des recettes,N P N,baisse des recettes,N P N,augmentation,baisse,ANTI
secteur industriel,N A,secteur naturel,N A,industriel,naturel,ANTI
dispositif global,N A,dispositif régional,N A,global,régional,ANTI
théorie de la croissance,N P N,théorie de la décroissance,N P N,croissance,décroissance,ANTI
consommation en électricité,N P N,alimentation en électricité,N P N,consommation,alimentation,ANTI
eau lorsqu,N A,terre lorsqu,N A,eau,terre,ANTI
eau des océans,N P N,océans de la terre,N P N,eau,terre,ANTI
augmentation des effectifs,N P N,diminution des effectifs,N P N,augmentation,diminution,ANTI
carbone planétaire,N A,carbone régional,N A,planétaire,régional,ANTI
augmentation du risque,N P N,risque de diminution,N P N,augmentation,diminution,ANTI
refroidissement progressif,N A,réchauffement progressif,N A,refroidissement,réchauffement,ANTI
refroidissement climatique,N A,réchauffement climatique,N A,refroidissement,réchauffement,ANTI
capitalisme industriel,N A,capitalisme naturel,N A,industriel,naturel,ANTI
élévation rapide,N A,diminution rapide,N A,élévation,diminution,ANTI
déplacement des animaux,N P N,transport des animaux,N P N,déplacement,transport,ANTI
augmentation drastique,N A,baisse drastique,N A,augmentation,baisse,ANTI
face à la diminution,N P N,face à la hausse,N P N,diminution,hausse,ANTI
croissance est-elle,N A,décroissance est-elle,N A,croissance,décroissance,ANTI
poids humide,N A,poids sec,N A,humide,sec,ANTI
récupération des déchets,N P N,déchets avant élimination,N P N,récupération,élimination,ANTI
question de la consommation,N P N,alimentation en question,N P N,consommation,alimentation,ANTI
eau dans la région,N P N,région terre,N N,eau,terre,ANTI
eau de la maison,N P N,maison en terre,N P N,eau,terre,ANTI
taux de croissance,N P N,diminution du taux,N P N,croissance,diminution,ANTI
augmentation générale,N A,baisse générale,N A,augmentation,baisse,ANTI
niveau de la mer,N P N,terre au niveau,N P N,mer,terre,ANTI
homme à la place,N P N,place à la nature,N P N,homme,nature,ANTI
eau sous forme,N P N,terre en forme,N P N,eau,terre,ANTI
faune terrestre,N A,flore terrestre,N A,faune,flore,ANTI
atmosphère lorsqu,N A,terre lorsqu,N A,atmosphère,terre,ANTI
lutte en mer,N P N,lutte à terre,N P N,mer,terre,ANTI
augmentation des déchets,N P N,diminution des déchets,N P N,augmentation,diminution,ANTI
augmentation des coûts,N P N,baisse des coûts,N P N,augmentation,baisse,ANTI
gestion agricole,N A,gestion piscicole,N A,agricole,piscicole,ANTI
eau à la maison,N P N,maison en terre,N P N,eau,terre,ANTI
croissance importante,N A,diminution importante,N A,croissance,diminution,ANTI
arrêt en date,N P N,date de démarrage,N P N,arrêt,démarrage,ANTI
augmentation significative,N A,baisse significative,N A,augmentation,baisse,ANTI
règne animal,N A,règne végétal,N A,animal,végétal,ANTI
augmentation des maladies,N P N,diminution des maladies,N P N,augmentation,diminution,ANTI
répartition de la faune,N P N,répartition de la flore,N P N,faune,flore,ANTI
augmentation de la charge,N P N,diminution de la charge,N P N,augmentation,diminution,ANTI
courant chaud,N A,courant froid,N A,chaud,froid,ANTI
croissance rapide,N A,diminution rapide,N A,croissance,diminution,ANTI
augmentation considérable,N A,diminution considérable,N A,augmentation,diminution,ANTI
eau en france,N P N,terre france,N N,eau,terre,ANTI
période de refroidissement,N P N,période de réchauffement,N P N,refroidissement,réchauffement,ANTI
patrimoine agricole,N A,patrimoine piscicole,N A,agricole,piscicole,ANTI
eau présente,N A,air présente,N A,eau,air,ANTI
diminution du volume,N P N,hausse du volume,N P N,diminution,hausse,ANTI
eau dans la mise,N P N,mise en terre,N P N,eau,terre,ANTI
baisse progressive,N A,élévation progressive,N A,baisse,élévation,ANTI
eau au jardin,N P N,air au jardin,N P N,eau,air,ANTI
homme ordinaire,N A,nature ordinaire,N A,homme,nature,ANTI
activité de la terre,N P N,activité du soleil,N P N,terre,soleil,ANTI
eau à température,N P N,température de la terre,N P N,eau,terre,ANTI
climat local,N A,climat mondial,N A,local,mondial,ANTI
capacité de refroidissement,N P N,capacité de réchauffement,N P N,refroidissement,réchauffement,ANTI
monde polaire,N A,monde tropical,N A,polaire,tropical,ANTI
augmentation de la pression,N P N,pression à la baisse,N P N,augmentation,baisse,ANTI
eau pour la vie,N P N,terre vie,N N,eau,terre,ANTI
accélération du rythme,N P N,ralentissement du rythme,N P N,accélération,ralentissement,ANTI
réseau planétaire,N A,réseau régional,N A,planétaire,régional,ANTI
consommation électrique,N A,alimentation électrique,N A,consommation,alimentation,ANTI
eau dans la mer,N P N,eau par la terre,N P N,mer,terre,ANTI
traitement industriel,N A,traitement naturel,N A,industriel,naturel,ANTI
patrimoine local,N A,patrimoine planétaire,N A,local,planétaire,ANTI
homme de la forêt,N P N,nature de la forêt,N P N,homme,nature,ANTI
système régional,N A,système mondial,N A,régional,mondial,ANTI
climat local,N A,climat planétaire,N A,local,planétaire,ANTI
pôle urbain,N A,pôle rural,N A,urbain,rural,ANTI
élévation du taux,N P N,taux de diminution,N P N,élévation,diminution,ANTI
homme face,N N,nature face,N N,homme,nature,ANTI
idéologie de la croissance,N P N,idéologie de la décroissance,N P N,croissance,décroissance,ANTI
baisse de la population,N P N,population en croissance,N P N,baisse,croissance,ANTI
surface de la mer,N P N,surface de la terre,N P N,mer,terre,ANTI
public régional,N A,public mondial,N A,régional,mondial,ANTI
augmentation du débit,N P N,diminution du débit,N P N,augmentation,diminution,ANTI
diminution du prix,N P N,hausse des prix,N P N,diminution,hausse,ANTI
faune de la partie,N P N,partie de la flore,N P N,faune,flore,ANTI
terre du rayonnement,N P N,rayonnement du soleil,N P N,terre,soleil,ANTI
forum global,N A,forum régional,N A,global,régional,ANTI
augmentation du taux,N P N,taux de diminution,N P N,augmentation,diminution,ANTI
atlas régional,N A,atlas mondial,N A,régional,mondial,ANTI
flore terrestre,N A,flore aquatique,N A,terrestre,aquatique,ANTI
filtres à eau,N P N,filtres à air,N P N,eau,air,ANTI
caractère planétaire,N A,caractère régional,N A,planétaire,régional,ANTI
eau à la surface,N P N,air à la surface,N P N,eau,air,ANTI
consensus local,N A,consensus mondial,N A,local,mondial,ANTI
augmentation sensible,N A,diminution sensible,N A,augmentation,diminution,ANTI
refroidissement local,N A,réchauffement local,N A,refroidissement,réchauffement,ANTI
refroidissement de la surface,N P N,réchauffement de la surface,N P N,refroidissement,réchauffement,ANTI
climat global,N A,climat régional,N A,global,régional,ANTI
augmentation par rapport,N P N,baisse par rapport,N P N,augmentation,baisse,ANTI
eau en surface,N P N,air à la surface,N P N,eau,air,ANTI
croissance de la pollution,N P N,diminution de la pollution,N P N,croissance,diminution,ANTI
faune indigène,N A,flore indigène,N A,faune,flore,ANTI
homme au centre,N P N,centre nature,N N,homme,nature,ANTI
faune urbaine,N A,flore urbaine,N A,faune,flore,ANTI
augmentation générale,N A,diminution générale,N A,augmentation,diminution,ANTI
élimination des déchets,N P N,déchets par réemploi,N P N,élimination,réemploi,ANTI
environnement planétaire,N A,environnement régional,N A,planétaire,régional,ANTI
récupération des déchets,N P N,élimination des déchets,N P N,récupération,élimination,ANTI
homme de la situation,N P N,situation de la nature,N P N,homme,nature,ANTI
site eau,N N,site terre,N N,eau,terre,ANTI
rapports homme,N N,rapports entre la nature,N P N,homme,nature,ANTI
cas de déplacement,N P N,cas du transport,N P N,déplacement,transport,ANTI
chaleur sur terre,N P N,chaleur du soleil,N P N,terre,soleil,ANTI
augmentation régulière,N A,baisse régulière,N A,augmentation,baisse,ANTI
droit de la consommation,N P N,droit à une alimentation,N P N,consommation,alimentation,ANTI
augmentation des stocks,N P N,baisse des stocks,N P N,augmentation,baisse,ANTI
augmentation du temps,N P N,diminution du temps,N P N,augmentation,diminution,ANTI
thème de la croissance,N P N,thème de la décroissance,N P N,croissance,décroissance,ANTI
caractère local,N A,caractère planétaire,N A,local,planétaire,ANTI
homme dans le changement,N P N,changement de nature,N P N,homme,nature,ANTI
homme de terrain,N P N,nature du terrain,N P N,homme,nature,ANTI
