Entrée,partie du discours,Terme relié,partie du discours,relation
élimination,NN,réemploi,NN,ANTI
élimination,NN,récupération,NN,ANTI
élévation,NN,baisse,NN,ANTI
élévation,NN,diminution,NN,ANTI
émission,NN,absorption,NN,ANTI
activité,NN,agriculture,NN,HYP
agriculteur,NN,cultivateur,NN,HYP
agriculteur,NN,éleveur,NN,HYP
agriculteur,NN,apiculteur,NN,HYP
agriculture,NN,élevage,NN,HYP
agriculture,NN,culture,NN,HYP
alcool,NN,éthanol,NN,HYP
alcool,NN,bioéthanol,NN,HYP
alcool,NN,carburant,NN,HYP
algue,NN,organisme,NN,HYP
algue,NN,phytoplancton,NN,HYP
apiculteur,NN,agriculteur,NN,HYP
apiculture,NN,activité,NN,HYP
apiculture,NN,élevage,NN,HYP
aquaculture,NN,élevage,NN,HYP
aquaculture,NN,pisciculture,NN,HYP
arbre,NN,hêtre,NN,HYP
arbre,NN,végétal,NN,HYP
arbre,NN,bouleau,NN,HYP
arbre,NN,épinette,NN,HYP
arbre,NN,conifère,NN,HYP
arbre,NN,feuillu,NN,HYP
arrêt,NN,infrastructure,NN,HYP
autobus,NN,véhicule,NN,HYP
automobile,NN,véhicule,NN,HYP
automobiliste,NN,utilisateur,NN,HYP
autoroute,NN,route,NN,HYP
autoroute,NN,infrastructure,NN,HYP
azote,NN,gaz,NN,HYP
banlieue,NN,zone,NN,HYP
biocarburant,NN,carburant,NN,HYP
biocarburant,NN,éthanol,NN,HYP
biocarburant,NN,biogaz,NN,HYP
biocarburant,NN,biodiesel,NN,HYP
biocarburant,NN,bioéthanol,NN,HYP
biodiesel,NN,biocarburant,NN,HYP
biodiesel,NN,carburant,NN,HYP
biodiversité,NN,diversité,NN,HYP
biogaz,NN,biocarburant,NN,HYP
biogaz,NN,carburant,NN,HYP
biomasse,NN,combustible,NN,HYP
biomasse,NN,bioénergie,NN,HYP
bioéthanol,NN,carburant,NN,HYP
bioéthanol,NN,alcool,NN,HYP
bioéthanol,NN,biocarburant,NN,HYP
bois,NN,ressource,NN,HYP
bois,NN,matière,NN,HYP
camion,NN,véhicule,NN,HYP
carbone,NN,gaz,NN,HYP
carburant,NN,essence,NN,HYP
carburant,NN,combustible,NN,HYP
carburant,NN,biodiesel,NN,HYP
carburant,NN,biocarburant,NN,HYP
carburant,NN,biogaz,NN,HYP
carburant,NN,alcool,NN,HYP
carburant,NN,hydrogène,NN,HYP
carburant,NN,éthanol,NN,HYP
carburant,NN,diesel,NN,HYP
carburant,NN,bioéthanol,NN,HYP
catastrophe,NN,ouragan,NN,HYP
catastrophe,NN,séisme,NN,HYP
catastrophe,NN,feu,NN,HYP
catastrophe,NN,incendie,NN,HYP
catastrophe,NN,événement,NN,HYP
catastrophe,NN,tornade,NN,HYP
charbon,NN,combustible,NN,HYP
charbon,NN,hydrocarbure,NN,HYP
climat,NN,microclimat,NN,HYP
consommation,NN,surconsommation,NN,HYP
continent,NN,zone,NN,HYP
cultivateur,NN,agriculteur,NN,HYP
culture,NN,agriculture,NN,HYP
culture,NN,rizière,NN,HYP
culture,NN,activité,NN,HYP
cyclone,NN,événement,NN,HYP
cyclone,NN,tempête,NN,HYP
delta,NN,écosystème,NN,HYP
diesel,NN,carburant,NN,HYP
diversité,NN,biodiversité,NN,HYP
déversement,NN,catastrophe,NN,HYP
essence,NN,carburant,NN,HYP
eutrophisation,NN,phénomène,NN,HYP
exploitation,NN,surexploitation,NN,HYP
feu,NN,événement,NN,HYP
feu,NN,catastrophe,NN,HYP
forêt,NN,écosystème,NN,HYP
gaz,NN,méthane,NN,HYP
gaz,NN,carbone,NN,HYP
gaz,NN,polluant,NN,HYP
gaz,NN,combustible,NN,HYP
gel,NN,phénomène,NN,HYP
hydrocarbure,NN,charbon,NN,HYP
hydrocarbure,NN,pétrole,NN,HYP
hydrogène,NN,carburant,NN,HYP
hydroélectricité,NN,électricité,NN,HYP
incendie,NN,événement,NN,HYP
incendie,NN,catastrophe,NN,HYP
infrastructure,NN,rail,NN,HYP
infrastructure,NN,station,NN,HYP
infrastructure,NN,route,NN,HYP
infrastructure,NN,ligne,NN,HYP
infrastructure,NN,voie,NN,HYP
infrastructure,NN,autoroute,NN,HYP
inondation,NN,phénomène,NN,HYP
ligne,NN,infrastructure,NN,HYP
mangrove,NN,écosystème,NN,HYP
marais,NN,zone,NN,HYP
marais,NN,écosystème,NN,HYP
microclimat,NN,climat,NN,HYP
milieu,NN,tourbière,NN,HYP
moto,NN,véhicule,NN,HYP
méthane,NN,gaz,NN,HYP
orage,NN,tempête,NN,HYP
orage,NN,phénomène,NN,HYP
ouragan,NN,événement,NN,HYP
ouragan,NN,catastrophe,NN,HYP
oxygène,NN,gaz,NN,HYP
ozone,NN,gaz,NN,HYP
pisciculture,NN,aquaculture,NN,HYP
pisciculture,NN,élevage,NN,HYP
plage,NN,écosystème,NN,HYP
plante,NN,végétal,NN,HYP
pluie,NN,mousson,NN,HYP
polluant,NN,gaz,NN,HYP
produit,NN,sous-produit,NN,HYP
puits,NN,réservoir,NN,HYP
pétrole,NN,hydrocarbure,NN,HYP
pétrole,NN,combustible,NN,HYP
rail,NN,infrastructure,NN,HYP
route,NN,infrastructure,NN,HYP
route,NN,autoroute,NN,HYP
soufre,NN,gaz,NN,HYP
station,NN,infrastructure,NN,HYP
stationnement,NN,infrastructure,NN,HYP
sécheresse,NN,phénomène,NN,HYP
séisme,NN,phénomène,NN,HYP
séisme,NN,événement,NN,HYP
séisme,NN,catastrophe,NN,HYP
tempête,NN,tornade,NN,HYP
terre,NN,écosystème,NN,HYP
terre,NN,planète,NN,HYP
tornade,NN,événement,NN,HYP
tornade,NN,catastrophe,NN,HYP
tornade,NN,tempête,NN,HYP
toundra,NN,écosystème,NN,HYP
toundra,NN,biome,NN,HYP
tourbière,NN,milieu,NN,HYP
train,NN,tgv,NN,HYP
tramway,NN,véhicule,NN,HYP
tsunami,NN,événement,NN,HYP
tsunami,NN,catastrophe,NN,HYP
tsunami,NN,phénomène,NN,HYP
utilitaire,NN,véhicule,NN,HYP
verre,NN,matière,NN,HYP
voie,NN,infrastructure,NN,HYP
voiture,NN,véhicule,NN,HYP
végétal,NN,arbre,NN,HYP
végétal,NN,plante,NN,HYP
véhicule,NN,moto,NN,HYP
véhicule,NN,voiture,NN,HYP
véhicule,NN,autobus,NN,HYP
véhicule,NN,tramway,NN,HYP
véhicule,NN,navette,NN,HYP
véhicule,NN,camion,NN,HYP
véhicule,NN,train,NN,HYP
véhicule,NN,automobile,NN,HYP
véhicule,NN,utilitaire,NN,HYP
écosystème,NN,mangrove,NN,HYP
écosystème,NN,delta,NN,HYP
écosystème,NN,toundra,NN,HYP
écosystème,NN,marais,NN,HYP
écosystème,NN,forêt,NN,HYP
écosystème,NN,terre,NN,HYP
écosystème,NN,plage,NN,HYP
électricité,NN,hydroélectricité,NN,HYP
élevage,NN,aquaculture,NN,HYP
élevage,NN,pisciculture,NN,HYP
élevage,NN,agriculture,NN,HYP
élevage,NN,activité,NN,HYP
éleveur,NN,agriculteur,NN,HYP
énergie,NN,bioénergie,NN,HYP
éthanol,NN,biocarburant,NN,HYP
éthanol,NN,alcool,NN,HYP
éthanol,NN,carburant,NN,HYP
événement,NN,cyclone,NN,HYP
événement,NN,feu,NN,HYP
événement,NN,catastrophe,NN,HYP
événement,NN,ouragan,NN,HYP
événement,NN,incendie,NN,HYP
événement,NN,séisme,NN,HYP
événement,NN,tempête,NN,HYP
accumulateur,NN,pile,NN,QSYN
accumulateur,NN,batterie,NN,QSYN
acidification,NN,contamination,NN,QSYN
acidification,NN,eutrophisation,NN,QSYN
agriculteur,NN,fermier,NN,QSYN
altération,NN,changement,NN,QSYN
altération,NN,aggravation,NN,QSYN
altération,NN,perturbation,NN,QSYN
amplification,NN,intensification,NN,QSYN
amplification,NN,augmentation,NN,QSYN
amplification,NN,hausse,NN,QSYN
apiculteur,NN,éleveur,NN,QSYN
apiculteur,NN,sylviculteur,NN,QSYN
apiculture,NN,pisciculture,NN,QSYN
appauvrissement,NN,raréfaction,NN,QSYN
aquaculture,NN,agriculture,NN,QSYN
aquaculture,NN,pêche,NN,QSYN
arbre,NN,plante,NN,QSYN
atmosphère,NN,air,NN,QSYN
augmentation,NN,croissance,NN,QSYN
augmentation,NN,amplification,NN,QSYN
augmentation,NN,hausse,NN,QSYN
autobus,NN,métro,NN,QSYN
autobus,NN,tramway,NN,QSYN
autobus,NN,train,NN,QSYN
autobus,NN,bus,NN,QSYN
automobile,NN,auto,NN,QSYN
automobiliste,NN,conducteur,NN,QSYN
autopartage,NN,covoiturage,NN,QSYN
barrage,NN,réservoir,NN,QSYN
batterie,NN,accumulateur,NN,QSYN
biodiesel,NN,éthanol,NN,QSYN
biodiesel,NN,bioéthanol,NN,QSYN
biogaz,NN,biodiesel,NN,QSYN
biogaz,NN,bioéthanol,NN,QSYN
biogaz,NN,éthanol,NN,QSYN
biosphère,NN,écosystème,NN,QSYN
bioéthanol,NN,éthanol,NN,QSYN
bioéthanol,NN,biodiesel,NN,QSYN
boisement,NN,plantation,NN,QSYN
borne,NN,station,NN,QSYN
bouleversement,NN,dérèglement,NN,QSYN
bouleversement,NN,perturbation,NN,QSYN
capteur,NN,panneau,NN,QSYN
capture,NN,séquestration,NN,QSYN
capture,NN,piégeage,NN,QSYN
capture,NN,stockage,NN,QSYN
chaleur,NN,énergie,NN,QSYN
changement,NN,variation,NN,QSYN
changement,NN,perturbation,NN,QSYN
changement,NN,fluctuation,NN,QSYN
changement,NN,réchauffement,NN,QSYN
changement,NN,dérèglement,NN,QSYN
changement,NN,modification,NN,QSYN
changement,NN,refroidissement,NN,QSYN
charbon,NN,gaz,NN,QSYN
charbon,NN,pétrole,NN,QSYN
charge,NN,plein,NN,QSYN
circulation,NN,déplacement,NN,QSYN
climatologie,NN,météorologie,NN,QSYN
collecte,NN,ramassage,NN,QSYN
communauté,NN,population,NN,QSYN
concentration,NN,teneur,NN,QSYN
conditionnement,NN,traitement,NN,QSYN
conducteur,NN,automobiliste,NN,QSYN
conservation,NN,préservation,NN,QSYN
conservation,NN,protection,NN,QSYN
constructeur,NN,fabricant,NN,QSYN
conséquence,NN,répercussion,NN,QSYN
conséquence,NN,impact,NN,QSYN
conséquence,NN,incidence,NN,QSYN
conséquence,NN,effet,NN,QSYN
contamination,NN,acidification,NN,QSYN
contamination,NN,pollution,NN,QSYN
conversion,NN,transformation,NN,QSYN
couvert,NN,couverture,NN,QSYN
couvert,NN,manteau,NN,QSYN
couverture,NN,couvert,NN,QSYN
couverture,NN,manteau,NN,QSYN
covoiturage,NN,autopartage,NN,QSYN
croissance,NN,hausse,NN,QSYN
croissance,NN,augmentation,NN,QSYN
croissance,NN,développement,NN,QSYN
croissance,NN,accroissement,NN,QSYN
croûte,NN,manteau,NN,QSYN
culture,NN,plantation,NN,QSYN
culture,NN,élevage,NN,QSYN
cyclone,NN,tornade,NN,QSYN
cyclone,NN,ouragan,NN,QSYN
côte,NN,littoral,NN,QSYN
diesel,NN,gazole,NN,QSYN
diesel,NN,essence,NN,QSYN
diminution,NN,raréfaction,NN,QSYN
diminution,NN,baisse,NN,QSYN
disparition,NN,déclin,NN,QSYN
disparition,NN,perte,NN,QSYN
disparition,NN,extinction,NN,QSYN
distance,NN,parcours,NN,QSYN
distance,NN,trajet,NN,QSYN
distance,NN,itinéraire,NN,QSYN
diversité,NN,biocénose,NN,QSYN
déboisement,NN,déforestation,NN,QSYN
déboisement,NN,dégradation,NN,QSYN
déboisement,NN,défrichement,NN,QSYN
déchets,NN,encombrant,NN,QSYN
défrichement,NN,déboisement,NN,QSYN
défrichement,NN,défrichage,NN,QSYN
dégel,NN,recul,NN,QSYN
dégel,NN,fonte,NN,QSYN
dégradation,NN,sécheresse,NN,QSYN
dégradation,NN,désertification,NN,QSYN
dégradation,NN,détérioration,NN,QSYN
dégradation,NN,érosion,NN,QSYN
dégradation,NN,catastrophe,NN,QSYN
déplacement,NN,parcours,NN,QSYN
déplacement,NN,trajet,NN,QSYN
déplacement,NN,voyage,NN,QSYN
dérèglement,NN,fluctuation,NN,QSYN
dérèglement,NN,perturbation,NN,QSYN
dérèglement,NN,altération,NN,QSYN
dérèglement,NN,changement,NN,QSYN
désertification,NN,dégradation,NN,QSYN
désertification,NN,sécheresse,NN,QSYN
désertification,NN,catastrophe,NN,QSYN
désertification,NN,érosion,NN,QSYN
détérioration,NN,dégradation,NN,QSYN
développement,NN,croissance,NN,QSYN
développement,NN,industrialisation,NN,QSYN
développement,NN,urbanisation,NN,QSYN
déversement,NN,rejet,NN,QSYN
effet,NN,empreinte,NN,QSYN
effet,NN,incidence,NN,QSYN
effet,NN,rétroaction,NN,QSYN
effet,NN,répercussion,NN,QSYN
effet,NN,impact,NN,QSYN
empreinte,NN,répercussion,NN,QSYN
empreinte,NN,impact,NN,QSYN
empreinte,NN,effet,NN,QSYN
enfouissement,NN,élimination,NN,QSYN
environnement,NN,écosystème,NN,QSYN
environnement,NN,milieu,NN,QSYN
environnement,NN,écologie,NN,QSYN
essence,NN,diesel,NN,QSYN
eutrophisation,NN,pollution,NN,QSYN
eutrophisation,NN,dégradation,NN,QSYN
eutrophisation,NN,acidification,NN,QSYN
extinction,NN,disparition,NN,QSYN
extinction,NN,perte,NN,QSYN
feu,NN,incendie,NN,QSYN
fixation,NN,piégeage,NN,QSYN
fixation,NN,séquestration,NN,QSYN
flore,NN,végétation,NN,QSYN
flotte,NN,parc,NN,QSYN
fluctuation,NN,perturbation,NN,QSYN
fluctuation,NN,changement,NN,QSYN
fluctuation,NN,variation,NN,QSYN
fluctuation,NN,dérèglement,NN,QSYN
fonte,NN,dégel,NN,QSYN
fonte,NN,recul,NN,QSYN
forçage,NN,perturbation,NN,QSYN
forêt,NN,bois,NN,QSYN
gaspillage,NN,surconsommation,NN,QSYN
gaz,NN,charbon,NN,QSYN
gaz,NN,pétrole,NN,QSYN
gisement,NN,réserve,NN,QSYN
glace,NN,neige,NN,QSYN
glacier,NN,glace,NN,QSYN
globe,NN,planète,NN,QSYN
globe,NN,monde,NN,QSYN
habitat,NN,milieu,NN,QSYN
habitat,NN,biotope,NN,QSYN
humain,NN,homme,NN,QSYN
hydrogène,NN,h,NN,QSYN
impact,NN,répercussion,NN,QSYN
impact,NN,empreinte,NN,QSYN
impact,NN,conséquence,NN,QSYN
impact,NN,rétroaction,NN,QSYN
impact,NN,effet,NN,QSYN
impact,NN,incidence,NN,QSYN
impact,NN,influence,NN,QSYN
incendie,NN,feu,NN,QSYN
incidence,NN,effet,NN,QSYN
incidence,NN,impact,NN,QSYN
incidence,NN,influence,NN,QSYN
incidence,NN,répercussion,NN,QSYN
industrialisation,NN,développement,NN,QSYN
industrialisation,NN,urbanisation,NN,QSYN
influence,NN,rétroaction,NN,QSYN
influence,NN,conséquence,NN,QSYN
influence,NN,répercussion,NN,QSYN
influence,NN,impact,NN,QSYN
influence,NN,empreinte,NN,QSYN
influence,NN,effet,NN,QSYN
infrastructure,NN,réseau,NN,QSYN
intensification,NN,augmentation,NN,QSYN
intensification,NN,amplification,NN,QSYN
kilomètre,NN,km,NN,QSYN
lac,NN,mer,NN,QSYN
lac,NN,étang,NN,QSYN
libération,NN,émission,NN,QSYN
ligne,NN,parcours,NN,QSYN
ligne,NN,itinéraire,NN,QSYN
ligne,NN,trajet,NN,QSYN
littoral,NN,côte,NN,QSYN
mangrove,NN,marais,NN,QSYN
manteau,NN,croûte,NN,QSYN
manteau,NN,couverture,NN,QSYN
marais,NN,tourbière,NN,QSYN
marais,NN,marécage,NN,QSYN
marais,NN,mangrove,NN,QSYN
matière,NN,substance,NN,QSYN
mer,NN,lac,NN,QSYN
mer,NN,océan,NN,QSYN
milieu,NN,habitat,NN,QSYN
milieu,NN,biotope,NN,QSYN
milieu,NN,environnement,NN,QSYN
mobilité,NN,déplacement,NN,QSYN
mode,NN,moyen,NN,QSYN
mode,NN,transports,NN,QSYN
modification,NN,changement,NN,QSYN
modification,NN,détérioration,NN,QSYN
modification,NN,fluctuation,NN,QSYN
modèle,NN,simulation,NN,QSYN
modèle,NN,scénario,NN,QSYN
modèle,NN,formulation,NN,QSYN
monde,NN,terre,NN,QSYN
monde,NN,planète,NN,QSYN
monde,NN,globe,NN,QSYN
méthane,NN,ch4,NN,QSYN
métro,NN,autobus,NN,QSYN
métro,NN,train,NN,QSYN
métro,NN,tramway,NN,QSYN
navette,NN,transport,NN,QSYN
navette,NN,déplacement,NN,QSYN
navette,NN,véhicule,NN,QSYN
neige,NN,pluie,NN,QSYN
neige,NN,glace,NN,QSYN
océan,NN,mer,NN,QSYN
orage,NN,ouragan,NN,QSYN
orage,NN,pluie,NN,QSYN
orage,NN,tornade,NN,QSYN
ouragan,NN,tempête,NN,QSYN
ouragan,NN,orage,NN,QSYN
ouragan,NN,cyclone,NN,QSYN
ouragan,NN,tornade,NN,QSYN
oxygène,NN,o2,NN,QSYN
ozone,NN,o3,NN,QSYN
parc,NN,flotte,NN,QSYN
parcours,NN,distance,NN,QSYN
parcours,NN,voyage,NN,QSYN
parcours,NN,déplacement,NN,QSYN
parcours,NN,trajet,NN,QSYN
pergélisol,NN,permafrost,NN,QSYN
perte,NN,disparition,NN,QSYN
perte,NN,raréfaction,NN,QSYN
perte,NN,extinction,NN,QSYN
perturbation,NN,forçage,NN,QSYN
perturbation,NN,stress,NN,QSYN
perturbation,NN,altération,NN,QSYN
perturbation,NN,changement,NN,QSYN
perturbation,NN,dérèglement,NN,QSYN
perturbation,NN,fluctuation,NN,QSYN
phénomène,NN,événement,NN,QSYN
pisciculture,NN,agriculture,NN,QSYN
pisciculture,NN,pêche,NN,QSYN
piégeage,NN,stockage,NN,QSYN
piégeage,NN,fixation,NN,QSYN
piégeage,NN,séquestration,NN,QSYN
plantation,NN,boisement,NN,QSYN
plantation,NN,culture,NN,QSYN
plantation,NN,reboisement,NN,QSYN
plantation,NN,régénération,NN,QSYN
plante,NN,arbre,NN,QSYN
planète,NN,monde,NN,QSYN
planète,NN,globe,NN,QSYN
planète,NN,terre,NN,QSYN
plein,NN,recharge,NN,QSYN
plein,NN,charge,NN,QSYN
pluie,NN,orage,NN,QSYN
pluviosité,NN,pluie,NN,QSYN
polluant,NN,pollueur,NN,QSYN
pollueur,NN,polluant,NN,QSYN
population,NN,communauté,NN,QSYN
poussière,NN,particule,NN,QSYN
produit,NN,bien,NN,QSYN
protection,NN,conservation,NN,QSYN
protection,NN,préservation,NN,QSYN
préservation,NN,conservation,NN,QSYN
préservation,NN,protection,NN,QSYN
pénurie,NN,raréfaction,NN,QSYN
pétrole,NN,gaz,NN,QSYN
pétrole,NN,charbon,NN,QSYN
rail,NN,voie,NN,QSYN
ramassage,NN,collecte,NN,QSYN
raréfaction,NN,diminution,NN,QSYN
raréfaction,NN,pénurie,NN,QSYN
raréfaction,NN,appauvrissement,NN,QSYN
raréfaction,NN,perte,NN,QSYN
rayonnement,NN,radiation,NN,QSYN
reboisement,NN,boisement,NN,QSYN
reboisement,NN,reforestation,NN,QSYN
reboisement,NN,régénération,NN,QSYN
reboisement,NN,plantation,NN,QSYN
recharge,NN,alimentation,NN,QSYN
recharge,NN,plein,NN,QSYN
recul,NN,fonte,NN,QSYN
recul,NN,dégel,NN,QSYN
recyclage,NN,valorisation,NN,QSYN
recyclage,NN,réemploi,NN,QSYN
recyclage,NN,récupération,NN,QSYN
refroidissement,NN,changement,NN,QSYN
ressource,NN,richesse,NN,QSYN
réchauffement,NN,changement,NN,QSYN
réduction,NN,diminution,NN,QSYN
réemploi,NN,recyclage,NN,QSYN
réemploi,NN,valorisation,NN,QSYN
réemploi,NN,réutilisation,NN,QSYN
région,NN,pays,NN,QSYN
région,NN,zone,NN,QSYN
régénération,NN,reboisement,NN,QSYN
répercussion,NN,effet,NN,QSYN
répercussion,NN,impact,NN,QSYN
répercussion,NN,influence,NN,QSYN
